state,year,energy_btu
ID,1982,333178.0
IL,1982,3295717.0
IN,1982,2114799.0
KS,1982,921758.0
KY,1982,1212027.0
LA,1982,3577091.0
MA,1982,1197842.0
MD,1982,1064981.0
ME,1982,410302.0
MI,1982,2454460.0
MN,1982,1150235.0
MO,1982,1317373.0
MS,1982,789869.0
MT,1982,306076.0
NC,1982,1525783.0
ND,1982,228322.0
NE,1982,477177.0
NH,1982,193836.0
NJ,1982,2013148.0
NM,1982,455822.0
NV,1982,278926.0
NY,1982,3415363.0
OH,1982,3399416.0
OK,1982,1280027.0
OR,1982,868760.0
PA,1982,3262803.0
RI,1982,169678.0
SC,1982,929981.0
SD,1982,185559.0
TN,1982,1541882.0
TX,1982,8273319.0
US,1982,70772226.0
UT,1982,454466.0
VA,1982,1446464.0
VT,1982,110606.0
WA,1982,1586643.0
WI,1982,1362563.0
WV,1982,686216.0
WY,1982,354790.0
AK,1983,433409.0
AL,1983,1395242.0
AR,1983,770586.0
AZ,1983,726638.0
CA,1983,5907152.0
CO,1983,804336.0
CT,1983,662588.0
DC,1983,154037.0
DE,1983,191692.0
FL,1983,2349196.0
GA,1983,1688045.0
HI,1983,220552.0
IA,1983,921964.0
ID,1983,327933.0
IL,1983,3363793.0
IN,1983,2128513.0
KS,1983,891881.0
KY,1983,1223762.0
LA,1983,3369520.0
MA,1983,1191163.0
MD,1983,1079271.0
ME,1983,374088.0
MI,1983,2442953.0
MN,1983,1149001.0
MO,1983,1314353.0
